event_id,user_id,course_id,source,event_type,timestamp,language,message
1,s123,CIS-110,lms,login_success,2026-02-01T09:15:00Z,en,"Student logged into LMS from Chrome on Windows."
2,s124,CIS-110,lms,login_failure,2026-02-01T09:16:30Z,en,"Failed login attempt with incorrect password."
3,s125,MATH-095,lms,assignment_submission,2026-02-01T10:05:12Z,es,"El estudiante envió la tarea 2 antes de la fecha límite."
4,s126,ENG-050,lms,discussion_post,2026-02-01T11:22:45Z,en,"Student posted to Week 3 discussion forum."
5,s127,CIS-110,lms,password_change,2026-02-01T12:01:00Z,en,"User changed LMS password successfully."
6,s128,HIST-101,lms,link_click,2026-02-01T13:30:05Z,en,"Student clicked external resource link in Module 4."
7,s129,CIS-110,lms,login_failure,2026-02-01T14:02:19Z,vi,"Đăng nhập không thành công với mật khẩu sai."
8,s130,CIS-110,lms,login_failure,2026-02-01T14:03:02Z,en,"Failed login attempt with incorrect password."
9,s131,CIS-110,lms,login_success,2026-02-01T14:05:17Z,es,"Inicio de sesión correcto en el sistema LMS."
10,s132,CIS-110,lms,assignment_submission,2026-02-01T15:20:33Z,en,"Student submitted Project 1 file upload."
